지역/연도,2010crime,2010population,2010grand,2010population_density,2010foreigner,2010drink,2010smoke,2010academe,2010grdp,2011crime,2011population,2011grand,2011population_density,2011foreigner,2011drink,2011smoke,2011academe,2011grdp,2012crime,2012population,2012grand,2012population_density,2012foreigner,2012drink,2012smoke,2012academe,2012grdp,2013crime,2013population,2013grand,2013population_density,2013foreigner,2013drink,2013smoke,2013academe,2013grdp,2014crime,2014population,2014grand,2014population_density,2014foreigner,2014drink,2014smoke,2014academe,2014grdp,2015crime,2015population,2015grand,2015population_density,2015foreigner,2015drink,2015smoke,2015academe,2015grdp,2016crime,2016population,2016grand,2016population_density,2016foreigner,2016drink,2016smoke,2016academe,2016grdp
인천/부평,17071,567493,46859,17740,9623,13,25.9,1.3,850,16192,560936,48651,17535,10168,17.9,24,1.3,789,17401,559047,51401,17476,11326,18.1,23,1.3,833,19106,556985,53902,17406,11691,16.5,24.4,1.2,841,18171,556992,56601,17406,13270,19.2,25.3,1.2,872,21028,555844,59354,17370,15547,14.3,21.8,1.2,776,20364,549716,60940,17179,16863,17,23,1.2,793
인천/서구,13087,408068,27319,3582,11069,15.8,29.5,1.3,1048,12605,436134,29798,3829,12225,23.1,26.7,1.3,1137,18388,469887,33059,4125,12353,14.6,26.8,1.2,1109,17827,490035,35832,4299,12505,20.4,24.1,1.1,1104,18126,498686,38343,4330,13693,21.3,26.8,1.1,1144,19515,504606,40711,4381,15140,18.5,22.4,1.1,1391,19582,510733,42719,4369,16585,21.1,24.4,1.2,1503
인천/연수,8052,279230,19307,6532,3777,17.2,25.8,1.5,421,7178,287903,20535,6735,4525,21.8,22.8,1.4,580,10059,292589,21640,6421,4995,17.2,25,1.4,507,11292,300305,22994,6590,5456,17.3,22,1.4,563,9910,310703,24357,6332,6497,17.5,20.6,1.5,584,10142,319052,25593,6502,8182,18.6,21.4,1.6,691,9543,328627,26893,5980,10093,20.7,21.8,1.6,702
인천/옹진군,656,18739,3620,109,148,22.8,27.8,0.2,43,795,19485,3789,113,157,26.9,29.2,-,32,1848,20039,4003,117,192,25,24.8,0.2,38,1962,20698,4119,120,180,24.8,22.8,0.2,34,2249,20703,4302,120,187,26.4,24.1,0.2,35,2607,20962,4471,122,223,24.8,24.9,0.2,35,2286,21351,4567,124,263,33.1,27.5,0.2,37
인천/중구,8475,92890,11045,755,4513,18.9,28.8,0.3,1005,8213,93581,11558,760,4842,19.7,26.5,0.2,1102,1243,98648,12766,801,5069,18.2,27.5,0.7,1070,1734,107774,13993,821,4896,22.8,25.3,0.6,1138,739,111929,14878,840,5229,20.5,29.5,0.6,1180,949,114493,15410,858,5826,15,21.2,0.7,1142,948,115249,15737,822,5015,20.7,26.7,0.8,1237
광주/광산,4799,363239,24142,1630,6047,9.2,23.1,1.7,891,15609,375509,25500,1685,7279,19.5,24.8,1.7,942,7961,385101,27029,1728,7864,12.9,25.1,1.4,948,7485,392875,28338,1763,8425,18.6,25.1,2.1,993,7443,397281,29844,1782,9432,16.3,24.8,2.3,982,7071,400753,31054,1798,10766,17.2,19.6,2.3,1006,6492,403049,32067,1809,14535,12,19.7,2.4,964
광주/남구,2648,216863,23795,3554,1139,12.3,22.8,1.6,218,7855,219041,25056,3590,1211,16,23.5,1.6,214,17401,218313,26553,3578,1358,16.1,23.1,1.4,221,18206,216254,27780,3546,1419,18,20.9,2.2,218,16991,219815,29591,3604,1580,18.3,23.5,2.3,246,16214,221318,30921,3629,1733,16,19.2,2.4,248,14614,219729,32184,3603,1906,17.5,20.3,2.4,248
광주/동구,2792,104449,15752,2138,1393,11.6,23.8,2.5,239,8129,106495,16887,2180,1234,14.6,23.8,1.5,238,7432,105580,17758,2146,1293,12.9,24.1,1.5,246,8340,103016,18297,2094,1320,16.2,25.3,3.1,237,7662,100786,18919,2048,1269,17.4,25.8,3.1,254,7072,98784,19340,2007,1300,16.5,19.7,3.2,258,6113,95791,19413,1942,1571,15.7,21.5,3.1,271
광주/북구,6606,466866,40870,3835,3855,15.1,22.5,1.4,671,18931,444483,41287,3651,4160,15.3,23.1,1.3,676,20288,443677,44097,3688,4390,14.1,23.4,1.1,687,18840,445489,46660,3703,4742,17.4,22,2.1,728,19101,447685,49182,3721,5166,16.3,22.6,2.1,739,18269,446316,51519,3710,5354,16.1,19.1,2.1,706,16114,441066,53694,3666,5961,19,19.1,2.1,750
광주/서구,5234,303219,25898,6492,1446,11,22.1,2,621,16314,317936,27681,6807,1537,17.8,21.4,1.7,666,17311,316545,29295,6625,1818,14.6,23.1,1.7,665,17619,315276,30799,6597,1866,13.5,20.7,2.5,655,17138,310317,32286,6495,2022,13.1,20.6,2.7,705,16367,305028,33555,6384,2316,16.1,20.4,2.7,758,14723,309579,35214,6479,2431,19.2,20,2.7,774
대전/대덕,3219,207549,17485,3032,2291,13.1,27.4,1.5,565,7129,205339,18182,3000,2455,15.4,25.1,1.4,567,13547,205688,19206,2996,2547,14.8,24.5,1.3,565,9642,204360,20205,2976,2525,16.5,22.3,1.3,560,10052,201558,21089,2934,2720,21.1,20.8,1.2,112,10868,196839,21899,2866,2881,19.8,21.2,1.3,615,10383,192688,22783,2806,3345,18.8,24.1,1.4,653
대전/동구,4492,248835,28419,1822,3598,12.7,26.6,1,242,812,251285,29516,1839,3723,19.3,24.7,1,243,3997,251945,31018,1844,3811,20.3,24.4,1,245,8881,250653,32348,1834,3716,19.6,24.7,1,244,8966,245493,33663,1797,3821,17.4,22.1,0.9,254,8857,239579,35002,1753,4189,20.4,21.8,1,254,8745,234959,35763,1719,4757,17.4,23.9,1,300
대전/서구,6000,499742,36698,5237,4278,12,23.9,1.7,767,15133,499124,38222,5231,4263,15.3,20.1,1.7,796,15414,496513,40172,5200,4357,20,25.7,1.7,818,17541,498917,42495,5226,4305,19.2,22.7,1.7,837,16606,496132,44745,5196,4317,16.9,23.6,1.6,832,17022,490859,46988,5140,4446,18.5,22.1,1.8,805,16454,491011,49080,5141,4598,13.8,20,1.8,806
대전/유성,2703,281692,17695,1589,4878,13.9,20.1,1.5,797,7459,294353,18694,1660,5445,17.6,21.1,1.5,855,7335,306312,19901,1728,5822,10.3,18.7,1.5,849,8248,313968,21120,1771,5882,12.1,21.1,1.5,836,8526,327461,22618,1857,6056,14.9,17.3,1.4,908,8677,335312,24154,1901,6636,11.7,18.4,1.5,946,10183,343222,25474,1946,7281,15,16,1.5,987
대전/중구,4144,265846,29948,4278,1773,18.6,26.2,1.4,392,9976,265502,31126,4273,2035,19.8,23.1,1.3,411,6367,264125,32682,4251,2115,16.8,25,1.3,428,6679,264913,34483,4264,2114,19.7,26.3,1.3,394,6182,261165,36214,4203,2149,16.2,26.8,1.3,400,6405,256186,37485,4123,2304,20.3,21.6,1.4,405,6024,252490,38468,4063,2244,23,24.8,1.4,370
울산/남구,17455,344131,20257,4743,4141,17.1,24,3,2068,15730,343504,21289,4735,4442,19.2,25.9,3.1,2275,7079,346836,22962,4771,5400,20.3,23.5,3.1,2253,7835,349064,24848,4801,5977,16.4,23,2.8,2117,8281,347759,26415,4764,6757,18.6,23.3,2.9,2208,8556,343598,27956,4706,7838,17.7,20.4,3,2194,8134,340714,29400,4664,7536,17.6,21.5,3.2,2241
울산/동구,5201,170764,9303,4742,2956,11.8,25.4,2,1191,4707,172172,9922,4781,3693,16,25,1.8,1253,6059,175479,10786,4870,4107,14.3,23.9,1.6,1319,6423,178468,11719,4957,4847,13.6,25.5,1.5,1364,6506,176668,12496,4903,6573,15.8,23.7,1.5,1385,6821,174963,13382,4855,7959,19.4,20.5,1.6,1210,5943,174514,14370,4842,5900,21.4,24.5,1.6,1080
울산/북구,5690,177488,9321,1128,2244,8.5,25.5,2.1,1372,4833,182504,9801,1160,2328,17.3,21.8,1.9,1397,14869,184088,10318,1170,2649,12,23.6,1.9,1378,15645,185695,10879,1181,2785,15.2,21.3,1.7,1502,14460,188733,11517,1200,2970,15.5,20.1,1.7,1586,16559,191063,12218,1214,3247,18.5,21,1.8,1677,15665,195285,12985,1241,3532,18.5,20.2,1.8,1744
울산/울주,9101,201000,19941,266,5200,12.2,24.7,1.8,1446,7477,204680,20609,271,5590,14,23.1,1.8,1561,5066,207840,21532,275,6908,13.5,23.8,1.9,1579,5423,208646,22545,275,7626,19.6,20.6,1.7,1553,5721,214392,23686,283,8823,18,21.7,1.7,1558,6677,219429,25028,290,10847,17.9,23.2,1.7,1597,5309,219255,25931,290,11194,19.1,21.6,1.7,1626
울산/중구,8194,232915,17978,6297,2015,8.6,27.9,2.2,210,7418,232634,18844,6289,2114,17.4,25.5,2.1,211,8179,233013,20138,6298,2517,14.7,22.1,1.9,246,9232,234607,21530,6341,2718,13.7,25.3,1.7,276,9248,238825,23136,6455,3212,19.6,23.3,1.6,290,9832,244481,24621,6608,3733,16.9,21.4,1.8,329,8550,242536,26082,6555,3515,17.9,23.6,1.9,349
강릉,9839,218503,31250,210,1813,17.6,29.2,1.9,356,8888,217571,32235,209,1921,23.4,25.1,2,377,36678,869944,33639,209,1956,16.9,24.9,1.8,388,37695,863720,34855,208,1977,22,26.8,1.9,399,35893,855586,36009,207,2037,18.8,24.3,1.8,413,36368,848987,36924,206,2175,19.8,21.9,1.9,449,38085,851380,37679,206,2588,20.4,23.2,1.9,486
거제,9258,228355,16475,569,8477,13.4,26.2,2.2,1026,11594,232787,17009,580,8604,18.6,24.5,1.8,999,38838,1120258,17710,589,9633,14.8,25.3,2,1035,40349,1148157,18470,602,9973,20.2,27,1.8,1102,42046,1174228,19366,617,12390,16.3,24.8,1.7,1079,47319,1184624,20073,636,15011,17.3,22.8,1.8,896,52226,1194041,20932,639,12992,19.2,23.4,1.7,913
경산,8890,240708,27848,585,6693,16.1,26.2,1.4,516,8761,243684,28662,592,6963,20.1,25.4,1.3,555,31674,978615,30060,598,7301,16.6,23.8,1.2,601,32922,979534,31728,604,7219,15.8,22.4,1.2,593,32833,974608,33515,617,7676,20.6,24.5,1.2,605,33272,971424,35004,624,8239,21.9,21.7,1.2,619,41540,974580,36375,627,9924,19.6,25.4,1.2,657
경주,13761,267098,41129,202,5270,16.4,24.2,1.4,714,10720,265488,41669,200,5998,22.2,23.3,1.5,761,23918,648863,42997,199,7197,19.6,21.3,1.5,767,23285,650082,44500,199,7984,26.4,22.2,1.4,716,22844,652877,46118,197,8861,23.8,24.4,1.4,749,22560,652282,47334,196,10295,24,24.7,1.3,774,20882,651744,48789,196,12751,22.4,23.6,1.4,818
고양,27523,950115,85466,3553,15011,10.1,23.8,1.9,1337,28498,961239,89179,3594,15915,18.3,20.8,1.9,1331,18587,611412,93853,3627,17307,19.5,22.8,1.8,1409,19880,607877,99028,3695,17169,22.3,24.2,1.8,1472,18804,600809,104096,3754,18202,18.5,22.4,1.7,1520,19249,597789,110050,3833,19519,17.6,22.4,1.8,1601,21232,597414,114092,3878,18709,18.4,21.3,1.9,1719
광명,8478,343982,28037,8932,4812,14.7,26.8,1.4,425,8284,355226,29624,9224,5642,16,25.2,1.4,435,22873,666852,31301,9235,6704,15.4,22.9,1.4,525,23171,672904,32599,9171,6893,15.6,23.4,1.4,552,26651,831521,33980,9054,7636,17.8,22.1,1.5,573,29806,831912,35511,8957,8934,17.1,22,1.5,597,31985,835197,36549,8814,9190,14.2,19,1.6,618
