지역/연도,2010crime,2010population,2010grand,2010population_density,2010foreigner,2010drink,2010smoke,2010academe,2010grdp,2011crime,2011population,2011grand,2011population_density,2011foreigner,2011drink,2011smoke,2011academe,2011grdp,2012crime,2012population,2012grand,2012population_density,2012foreigner,2012drink,2012smoke,2012academe,2012grdp,2013crime,2013population,2013grand,2013population_density,2013foreigner,2013drink,2013smoke,2013academe,2013grdp,2014crime,2014population,2014grand,2014population_density,2014foreigner,2014drink,2014smoke,2014academe,2014grdp,2015crime,2015population,2015grand,2015population_density,2015foreigner,2015drink,2015smoke,2015academe,2015grdp,2016crime,2016population,2016grand,2016population_density,2016foreigner,2016drink,2016smoke,2016academe,2016grdp
시흥,18127,403797,24996,2990,17764,17.3,26.7,1.6,875,17721,401149,25647,2971,20509,13.9,28.6,1.6,939,11697,273364,26709,2959,25260,14.7,29.5,1.6,962,12748,274455,27839,2939,28478,16.8,29.8,1.6,968,10981,275791,28835,2922,35955,16,25.5,1.5,1016,10825,277997,30190,2933,42287,16.9,25.8,1.4,1035,11423,280707,31650,2967,42671,16,24.3,1.5,1075
아산,7676,265191,27764,489,8659,13.3,26.2,1.3,2372,7801,274523,28890,506,10454,12.1,27,1.2,2616,16520,323885,30079,517,12724,11.3,23.6,1.2,2631,15411,324837,29290,529,13841,21.5,20.1,1,2646,13814,327292,32581,542,15025,19.3,24,1.2,2893,15301,332995,33862,549,17284,20.4,22.9,1.2,3121,16188,337979,35067,559,21080,26.8,20.4,1.3,3338
안산,27198,714891,45508,4794,39731,8.8,24.9,1.5,1826,27426,715586,47327,4799,46506,16.4,27.1,1.6,1914,12095,264091,49523,4796,56093,10.9,27.1,1.6,2098,12386,263283,51663,4774,59679,20.9,25.9,1.5,2148,10594,261535,53780,4738,69588,19.2,25.1,1.5,2172,11762,259773,55613,4628,78069,16.3,23.6,1.5,2250,10271,259452,57150,4473,74872,25.1,25.3,1.5,2325
안양,16155,621714,48899,10635,8822,6.5,23.4,1.8,1432,18340,615642,50490,10531,9353,19.1,21.5,1.8,1404,21019,513260,52773,10451,10448,12.6,22.1,1.9,1416,21734,522049,55180,10391,10161,17.5,23,1.7,1436,22506,527240,57295,10277,10752,23.2,21.6,1.8,1461,22675,528865,59809,10224,12210,23.9,21,1.9,1474,21454,529422,61675,10212,11114,21.9,21.3,1.9,1568
양산,9825,260239,22794,536,4202,19.5,28,1.6,746,8379,266403,24253,549,4583,20.2,27.9,1.6,743,11544,273798,25896,557,5305,14.2,27.5,1.5,777,11004,275668,27927,576,5317,16.5,22.7,1.5,805,11197,277188,30225,602,5659,13.1,25.7,1.5,801,12053,278765,32386,621,6629,20.3,23.1,1.5,935,11255,278548,35131,653,8087,20.7,25.2,1.5,949
여수,15612,293488,36601,584,2380,14.1,23.2,2.4,1955,16096,292750,37830,582,2694,15.9,21.7,2.4,1965,7841,286841,39671,580,3170,8.9,25.1,2.4,1955,7825,286344,41369,578,3449,14.4,23.8,2.2,1947,7828,288408,43225,572,3738,14.3,24.3,2.1,1958,7569,287519,44997,570,4147,15.7,21.4,2.1,2095,8596,284890,46632,567,5143,16.8,23.2,2,2300
용인,16908,876550,75642,1482,17756,8.1,23.5,1.7,2823,19986,896044,81132,1515,19007,17.1,22.6,1.7,3035,14831,599539,87192,1549,20418,14.3,21.4,1.7,2863,14975,618305,93099,1592,20146,11.6,22.5,1.7,3025,15209,636256,98344,1625,21260,13.8,20.5,1.7,3122,17221,653454,104118,1650,23534,18.6,19,1.7,3063,19368,662154,108968,1676,23797,14.4,19.3,1.7,3267
원주,13651,314678,34853,361,2926,6.8,29.6,2,552,14965,320536,36202,367,3058,18,28.2,2.1,599,9445,217741,37620,371,3303,7.2,29.4,1.8,609,8391,216806,38812,372,3396,21.5,24.7,1.8,639,7955,215807,39862,377,3627,19.6,26.6,1.7,680,8717,214560,41104,384,3987,20.7,27.2,1.7,753,8730,213846,42246,389,4576,15.1,21.6,1.7,795
의정부,15441,431801,41960,5296,5596,5.1,24.9,1.7,563,16178,430400,43889,5278,5522,11.8,24.9,1.5,548,8051,208447,46222,5266,5611,10.2,27.1,1.5,586,8329,208115,48701,5288,5575,8.2,25.7,1.6,633,7678,208527,50891,5287,5681,13.8,23.6,1.5,621,8989,207913,53282,5322,6014,19.2,23.1,1.5,632,9005,208350,55396,5377,5969,13.5,26.5,1.5,655
이천,6968,202595,20670,439,4148,8.7,25.8,1.9,709,7039,204566,21434,443,4824,17.7,28.1,1.9,835,6557,168302,22216,444,5157,13,26.3,1.9,821,6277,168461,23022,445,5400,17.2,25.4,1.8,875,5767,168697,23870,444,6219,20.5,25.8,1.7,929,6100,169221,24629,444,7097,20.5,23.1,1.8,1011,6110,168798,25380,456,8820,15.7,27.1,1.7,1109
익산,12915,307289,39268,607,4064,23,20.5,2.2,591,11994,309804,40520,612,4073,17.1,21,2.2,626,9226,246358,42234,605,4411,16.1,20.1,2.1,628,9586,248805,43731,605,4627,21.9,21.5,2.1,643,8492,253968,45251,600,4717,18.1,20.2,2.1,646,8400,256888,47026,596,5381,19.3,22.1,2.2,631,8647,258037,48531,593,6024,19.3,24.5,2.3,642
전주,22087,641525,61560,3114,5696,14.4,23.4,2.9,903,22318,645894,64549,3135,5904,23.7,22.1,3,911,8598,280490,68434,3150,6232,20.3,21.4,3,976,8751,287073,71736,3162,6526,19,22.8,3.1,1005,9314,293954,75226,3176,6788,21.1,22.7,2.8,1065,9777,297737,78948,3174,7314,19.1,20.5,3.1,1079,9633,302929,81555,3171,8308,17.3,19.8,3.1,1096
정읍,3981,122000,25096,176,1632,12.1,27.9,1.8,224,3871,120466,25448,174,1799,14.4,25.3,1.7,216,10502,236944,26141,172,2265,12.1,22.7,1.5,243,11893,242077,26685,171,2316,14.3,25.1,1.8,242,10193,248287,27327,169,2602,18.1,25.6,1.5,241,11830,255828,27944,167,2727,19.3,23.1,1.8,224,12577,257183,28228,166,2998,19.5,23.3,1.7,234
제주,30406,571255,45651,427,4291,17.4,27.4,2,762,29500,576156,47741,432,4821,23.2,27.7,1.9,790,4428,135504,50099,439,5704,18.8,26,1.9,843,4840,135259,52369,448,6886,19.9,26,1.8,874,4472,135456,54534,459,8862,20.9,24.8,1.9,931,5230,140132,56914,470,11669,18.8,21.3,1.8,981,4563,142256,59159,481,13327,21.9,26.7,1.8,1073
제천,4847,137264,20371,155,1569,17.2,29.2,1.4,236,4595,137689,20851,156,1823,16.3,25.2,1.3,245,3772,119392,21701,156,1817,20.2,24,1.3,245,3460,118328,22407,155,1791,19.4,28.1,1.4,237,3600,117183,23048,155,1806,19.5,26,1.4,287,3845,115977,23594,154,1915,21.9,22.6,1.4,284,3497,115173,24131,155,2283,20,23.5,1.4,282
진주,14074,335037,38938,470,3347,17.6,27.2,2.6,542,13943,335502,40296,471,3857,17.2,24.1,2.7,543,20069,915959,42193,473,4501,18.7,23.6,2.5,552,20862,941477,44016,473,4606,22.3,22.1,2.4,578,21309,961026,45998,477,4913,17,21.4,2.2,603,23547,975746,47815,483,5179,18.6,17.5,2.3,605,25984,991126,49318,486,5865,17.5,19.9,2.3,625
창원,23491,1090181,88196,1465,6813,13.1,24.1,1.9,3368,26561,682247,91563,1467,15187,18.3,25.4,1.7,3467,18053,399485,96199,1464,17835,14.3,22.5,1.7,3460,19128,396765,101571,1451,17613,16.2,22.2,1.7,3403,18249,394639,107030,1439,18492,16.8,23.2,1.8,3203,20611,398256,111795,1432,20455,16.2,19.8,1.8,3346,24618,402888,117208,1423,21597,17.9,21,1.8,3243
천안,21600,557673,44350,877,11808,8.1,25,2.1,2088,23105,571377,46056,898,14172,12.5,26.1,1.9,2228,13135,394201,48155,915,16995,13.3,24.8,1.8,2246,14059,401718,50474,929,17634,26.1,25,1.8,2433,14794,411348,52610,941,20240,16.7,24.8,1.8,2365,15757,423321,54835,952,22540,14,25.2,1.9,2269,16498,430781,57001,972,25469,12.4,23,1.8,2370
청주,24508,655971,52672,4275,6383,16.7,22.4,2.2,1264,23608,661946,54728,4314,6955,19.9,24.8,2.1,1350,9557,270460,57500,4346,7812,19.8,25.1,2.1,1400,10766,279565,60509,4385,7911,20.3,25.1,2,1640,9352,292376,86048,884,8615,18.2,24.2,1.8,2383,10032,301291,88656,885,14160,18,21.2,1.8,2544,10753,317037,91553,888,16506,19.2,21.3,1.8,2795
춘천,11864,269950,35384,242,3180,9.1,26.6,1.7,472,10328,272805,36774,244,3405,14.2,23.5,1.7,504,7587,204917,38278,245,3554,23,23.5,1.7,527,7530,205479,39467,246,3586,18.3,24.7,1.7,545,7773,205014,40376,247,3770,17.6,23.9,1.6,566,7477,204935,41092,249,4000,21.4,23.8,1.6,600,8852,210359,41699,251,4318,15.2,20.8,1.6,649
충주,8157,208481,29968,212,2829,14.4,27.8,1.7,422,7426,208433,30664,212,3268,16,27.6,1.5,473,7950,192341,31704,212,3510,14,25,1.6,477,7577,189680,32525,212,3718,14.5,24.3,1.6,505,7446,186820,33312,212,4146,18.3,25.9,1.6,535,7893,186721,33948,211,4712,19.5,23.2,1.5,540,8304,193763,34790,212,6238,16.6,24.2,1.4,555
파주,11441,355632,38458,529,9267,18.5,29.2,1.2,1002,12773,378790,41080,563,9936,18.9,24.1,1.2,1040,6331,163315,43695,586,10415,17.4,25,1.1,1109,5695,165837,45783,597,10455,20.5,26.2,1.1,1200,5626,167611,48009,612,11233,20.4,24.8,1,1201,6059,170099,50440,629,12188,20.7,22.7,1.1,1361,5748,170788,51980,640,14709,20.1,22.8,1.1,1401
평택,17395,419457,42381,920,12385,17.8,28.7,1.6,2048,20041,426886,43897,937,14392,22.4,27,1.5,1968,5042,137521,45938,949,16184,18.7,25.6,1.4,1978,5214,137204,47683,966,16950,20,24,1.4,2103,5225,136805,49568,983,19493,16.9,26.5,1.4,2136,4936,136138,51536,1005,23084,19.6,23.3,1.4,2180,4714,136517,53090,1028,26572,21.1,24.5,1.4,2192
포항,21754,514755,51026,456,4535,19.4,26.6,1.5,1725,20117,517088,52642,458,4928,16.2,26.3,1.6,1646,4234,126653,55602,459,5521,19.8,26.1,1.6,1645,4482,125844,58746,460,5474,17.8,23.5,1.6,1687,4184,124784,62118,460,5794,20.9,22.2,1.5,1657,4304,124232,65214,460,6190,19,22.6,1.5,1615,4153,123213,68296,457,6740,17.5,21.8,1.5,1589
